id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil,satuan,tahun
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29476,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,26669,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19483,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45032,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,83495,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34276,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6358,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,21010,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6301,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,43647,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,5773,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,56937,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,48242,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,11623,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12413,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,3171,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,128743,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47673,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44426,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79131,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,55188,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30912,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18589,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18884,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,39534,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20284,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18834,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29020,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,26363,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19300,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44495,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,85125,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33925,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6244,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,20902,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,6215,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,42863,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,5713,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,57307,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,48928,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,11528,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12181,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,3104,ORANG,2020
